platform_id,comparability,phase,priority,mode,workload,throughput_unit,experiments,completed,failed,total_runtime_seconds,avg_runtime_seconds,avg_throughput_tokens_sec,avg_throughput_samples_sec,avg_gpu_utilization,max_memory_used_gb,estimated_gpu_hours,actual_gpu_hours,energy_joules
h100,exact,Baseline profiling,Must Have,inference,distilbert,input_tokens_per_second,6,6,0,69.5211661180947,11.58686101968245,81045.59029064681,633.1686741456782,4.666666666666667,0.8505859375,2.6999999999999997,0.000263241116125654,105.35093263453919
h100,exact,Baseline profiling,Must Have,inference,gpt2_small,generated_tokens_per_second,6,6,0,322.71060073410627,53.78510012235105,291.8167677325874,,37.97302146034528,0.9775390625,2.6999999999999997,0.07310807288139283,36854.70908323563
h100,exact,Baseline profiling,Must Have,inference,tinyllama,generated_tokens_per_second,6,6,0,780.7458333410323,130.12430555683872,111.53643500714794,,51.62908017569557,2.8466796875,2.6999999999999997,0.19127091351337083,114474.39823864031
h100,exact,Baseline profiling,Must Have,training,distilbert,training_tokens_per_second,6,6,0,61.39333111396991,10.232221852328317,689787.6305755406,1347.2414659678527,95.53417508417509,5.2294921875,5.1000000000000005,0.003958726260558857,6975.685371380057
h100,exact,Baseline profiling,Must Have,training,gpt2_small,training_tokens_per_second,6,6,0,143.81874232401606,23.96979038733601,125679.60189017467,122.7339862208737,98.90512144505855,28.2646484375,5.1000000000000005,0.021727282178633484,40811.56423590748
h100,exact,Distributed training strategy,Must Have,training,distilbert,training_tokens_per_second,12,12,0,174.59412355383392,14.549510296152826,1946183.8717993351,3801.1403746080764,94.88715277777777,6.5810546875,21.599999999999994,0.025280065635646068,43318.44798890194
h100,exact,Distributed training strategy,Must Have,training,gpt2_small,training_tokens_per_second,12,12,0,312.07485796906985,26.006238164089154,370831.1565407003,362.13980130927763,98.55535718309397,29.6083984375,21.599999999999994,0.13256571371780915,246430.4434097761
h100,exact,Distributed training strategy,Optional,training,distilbert,training_tokens_per_second,3,3,0,55.93913763505407,18.64637921168469,627027.431712986,1224.6629525644257,50.1063596491228,6.0712890625,3.5999999999999996,0.008710294201672594,9390.96949495464
h100,exact,Distributed training strategy,Optional,training,gpt2_small,training_tokens_per_second,3,3,0,82.03940920601599,27.346469735338662,265114.3616819169,258.900743829997,86.82113821138212,26.0380859375,3.5999999999999996,0.020600011598823284,33396.32120396255
h100,exact,Distributed training strategy,Should Have,training,distilbert,training_tokens_per_second,9,9,0,131.67826869594865,14.630918743994293,1211704.6491122402,2366.610642797344,93.89473104056438,6.2548828125,10.799999999999999,0.013542437683273519,20743.379754940666
h100,exact,Distributed training strategy,Should Have,training,gpt2_small,training_tokens_per_second,9,9,0,226.21900217200164,25.13544468577796,276429.77040910063,269.95094766513733,98.0252521830774,29.4814453125,10.799999999999999,0.05959548096851601,105245.9201129864
h100,exact,Inference batching,Must Have,inference,gpt2_small,generated_tokens_per_second,9,9,0,593.5442530328874,65.9493614480986,2204.9385534149847,,33.32813639835799,72.4345703125,3.5999999999999996,0.09722406404383946,46907.03774109254
h100,exact,Inference batching,Must Have,inference,tinyllama,generated_tokens_per_second,9,9,0,829.2914353222586,92.14349281358429,1283.7055493734451,,43.940928646707036,72.4931640625,4.5,0.1650390697937433,113169.54570883849
h100,exact,Inference batching,Should Have,inference,gpt2_small,generated_tokens_per_second,9,9,0,607.9204823162872,67.54672025736525,4234.584623687131,,34.34811012471334,72.4365234375,3.5999999999999996,0.10134610597716852,50476.26372397797
h100,exact,Inference batching,Should Have,inference,tinyllama,generated_tokens_per_second,9,9,0,865.5160489331465,96.16844988146073,2495.4705910511516,,42.53757526459085,72.4912109375,4.5,0.17520575619871834,119042.67450780861
