platform_id,comparability,workload,model,precision,strategy,throughput_unit,gpus,trials,avg_throughput_tokens_sec,avg_throughput_samples_sec,max_memory_used_gb,avg_step_time_ms,avg_loss
h100,exact,distilbert,distilbert-base-uncased,bf16,ddp,training_tokens_per_second,2,3,1256938.025787784,2454.9570816167657,6.2509765625,26.06863623135723,0.001025835673014323
h100,exact,distilbert,distilbert-base-uncased,bf16,ddp,training_tokens_per_second,4,3,2543518.180523716,4967.808946335383,6.5810546875,25.765064742493752,0.005728304386138916
h100,exact,distilbert,distilbert-base-uncased,bf16,deepspeed_zero1,training_tokens_per_second,2,3,1182332.411618686,2309.242991442746,6.2548828125,27.713996071834117,0.00037924448649088543
h100,exact,distilbert,distilbert-base-uncased,bf16,deepspeed_zero2,training_tokens_per_second,2,3,1173375.2417675676,2291.7485190772804,6.2548828125,27.926390812111396,0.0003643035888671875
h100,exact,distilbert,distilbert-base-uncased,bf16,deepspeed_zero3,training_tokens_per_second,2,3,627027.431712986,1224.6629525644257,6.0712890625,52.260204136837274,0.00035190582275390625
h100,exact,distilbert,distilbert-base-uncased,bf16,fsdp,training_tokens_per_second,2,6,1277842.3464497307,2495.7858329096302,5.6083984375,25.641999954823405,0.0012843435009320576
h100,exact,distilbert,distilbert-base-uncased,bf16,fsdp,training_tokens_per_second,4,3,2708000.8819368468,5289.064222532904,5.6591796875,24.199329044592258,0.001643344759941101
h100,exact,gpt2_small,gpt2,bf16,ddp,training_tokens_per_second,2,3,243865.3611936321,238.14976679065634,29.2783203125,134.36634719527015,9.600310961405436
h100,exact,gpt2_small,gpt2,bf16,ddp,training_tokens_per_second,4,3,488939.5854025477,477.48006386967546,29.6083984375,134.03458602183187,10.290246566136679
h100,exact,gpt2_small,gpt2,bf16,deepspeed_zero1,training_tokens_per_second,2,3,290534.29908465093,283.7249014498544,24.5166015625,112.7841995540075,8.698071002960205
h100,exact,gpt2_small,gpt2,bf16,deepspeed_zero2,training_tokens_per_second,2,3,290465.7993606736,283.6580071881578,24.5166015625,112.81113595119677,8.693487644195557
h100,exact,gpt2_small,gpt2,bf16,deepspeed_zero3,training_tokens_per_second,2,3,265114.3616819169,258.900743829997,26.0380859375,123.59901492018253,8.688371658325195
h100,exact,gpt2_small,gpt2,bf16,fsdp,training_tokens_per_second,2,6,248566.51259560653,242.740734956647,29.4814453125,131.82693153833193,9.604689995447794
h100,exact,gpt2_small,gpt2,bf16,fsdp,training_tokens_per_second,4,3,501675.867157386,489.91783902088474,29.4638671875,130.63188927364536,10.289560874303183
l40s,exact,distilbert,distilbert-base-uncased,bf16,ddp,training_tokens_per_second,2,3,470572.405203688,919.0867289134532,5.658203125,69.63164864418407,0.0019017855326334636
l40s,exact,distilbert,distilbert-base-uncased,bf16,ddp,training_tokens_per_second,4,3,902295.0765869612,1762.2950714589085,5.619140625,72.6297551036502,0.002249687910079956
l40s,exact,distilbert,distilbert-base-uncased,bf16,deepspeed_zero1,training_tokens_per_second,2,3,515539.7771567111,1006.9136272592013,5.728515625,63.561176590931915,0.00033664703369140625
l40s,exact,distilbert,distilbert-base-uncased,bf16,deepspeed_zero2,training_tokens_per_second,2,3,515658.9593650619,1007.1464050098865,5.654296875,63.54704036998252,0.00036144256591796875
l40s,exact,distilbert,distilbert-base-uncased,bf16,deepspeed_zero3,training_tokens_per_second,2,3,512000.0129244725,1000.0000252431104,5.55078125,63.998695177336536,0.0003420511881510417
l40s,exact,distilbert,distilbert-base-uncased,bf16,fsdp,training_tokens_per_second,2,6,500356.8264051252,977.2594265725102,4.943359375,65.487756303822,0.09118513266245525
l40s,exact,distilbert,distilbert-base-uncased,bf16,fsdp,training_tokens_per_second,4,3,754538.8384985136,1473.7086689424093,4.71875,86.89584538030128,0.0012819170951843262
l40s,exact,gpt2_small,gpt2,bf16,ddp,training_tokens_per_second,2,3,87601.55751851578,85.54839601417557,28.685546875,374.0553710081925,9.590561389923096
l40s,exact,gpt2_small,gpt2,bf16,ddp,training_tokens_per_second,4,3,171924.24943931474,167.8947748430808,28.646484375,381.1885508010164,10.288395881652832
l40s,exact,gpt2_small,gpt2,bf16,deepspeed_zero1,training_tokens_per_second,2,3,122322.37218883437,119.45544159065857,24.044921875,267.8828378378724,8.677408854166666
l40s,exact,gpt2_small,gpt2,bf16,deepspeed_zero2,training_tokens_per_second,2,3,122490.93477618671,119.62005349236983,23.970703125,267.5137582809354,8.681685288747152
l40s,exact,gpt2_small,gpt2,bf16,deepspeed_zero3,training_tokens_per_second,2,3,125642.92876004415,122.69817261723061,25.431640625,260.8024546550587,8.684482415517172
l40s,exact,gpt2_small,gpt2,bf16,fsdp,training_tokens_per_second,2,6,90899.77085319399,88.76930747382225,28.95703125,360.48517822831246,9.594515085220337
l40s,exact,gpt2_small,gpt2,bf16,fsdp,training_tokens_per_second,4,3,178995.76940787156,174.80055606237457,28.568359375,366.1291950677211,10.291734298070272
