condition_id,experiment_id,platform_id,comparability,workload,model,platform,framework,precision,gpus,batch_size,concurrent_requests,prompt_length,throughput_unit,trials,avg_throughput_tokens_sec,avg_throughput_samples_sec,avg_latency_p50_ms,avg_latency_p95_ms,avg_ttft_p50_ms,avg_queueing_p50_ms,avg_memory_used_gb,avg_energy_joules
E173@l40s,E173,l40s,exact,distilbert,distilbert-base-uncased-finetuned-sst-2-english,lovelace_l40s,pytorch_eager,fp16,1,1,1,128,input_tokens_per_second,3,91422.25373669424,714.2363573179238,1.3940664939582348,1.4282008400186896,,,0.6751302083333334,
E174@l40s,E174,l40s,exact,distilbert,distilbert-base-uncased-finetuned-sst-2-english,lovelace_l40s,pytorch_eager,bf16,1,1,1,128,input_tokens_per_second,3,91039.95788660424,711.2496709890956,1.4001678209751844,1.424043291869263,,,0.650390625,
E177@l40s,E177,l40s,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_l40s,pytorch_eager,bf16,1,1,1,128,generated_tokens_per_second,3,115.99056765737198,,1103.4146355620276,1108.6716208451737,10.001425010462603,,2.666015625,
E178@h100,E178,h100,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_h100,vllm,bf16,1,1,1,128,generated_tokens_per_second,3,221.32776712831188,,578.1558422992626,580.6306534912437,,,72.4912109375,11582.809061601083
E178@l40s,E178,l40s,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_l40s,vllm,bf16,1,1,1,128,generated_tokens_per_second,3,210.82805147790418,,607.0999583850304,610.0592403750246,,,41.04296875,
E180@h100,E180,h100,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_h100,vllm,bf16,1,1,1,128,generated_tokens_per_second,3,220.5915869774232,,580.0682317931205,583.9492150000297,,,72.4912109375,11618.818711664395
E180@l40s,E180,l40s,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_l40s,vllm,bf16,1,1,1,128,generated_tokens_per_second,3,211.011358235334,,606.5269276344528,609.1124470423287,,,41.04296875,
E181@h100,E181,h100,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_h100,vllm,bf16,1,2,1,128,generated_tokens_per_second,3,374.6702355266007,,683.4756056778133,685.9709514615437,,,72.4912109375,12425.061751995236
E181@l40s,E181,l40s,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_l40s,vllm,bf16,1,2,1,128,generated_tokens_per_second,3,393.4869813771604,,650.636445886145,654.2390557937324,,,41.04296875,
E182@h100,E182,h100,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_h100,vllm,bf16,1,4,1,128,generated_tokens_per_second,3,740.7118060456451,,691.1729883480197,694.1593361242363,,,72.4912109375,12683.59569565468
E182@l40s,E182,l40s,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_l40s,vllm,bf16,1,4,1,128,generated_tokens_per_second,3,786.2701999909327,,651.1498327211788,654.0974130543569,,,41.04296875,
E183@h100,E183,h100,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_h100,vllm,bf16,1,8,1,128,generated_tokens_per_second,3,1480.2505379809372,,691.8764023187881,694.8602184692087,,,72.4912109375,12813.69519179457
E183@l40s,E183,l40s,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_l40s,vllm,bf16,1,8,1,128,generated_tokens_per_second,3,1546.3742050917463,,662.2211848540852,665.8537694641078,,,41.04296875,
E184@h100,E184,h100,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_h100,vllm,bf16,1,16,1,128,generated_tokens_per_second,3,2889.8132550972673,,708.5904389775047,711.8351972700717,,,72.49251302083333,13420.767495627088
E184@l40s,E184,l40s,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_l40s,vllm,bf16,1,16,1,128,generated_tokens_per_second,3,3046.966447654235,,671.9698456581682,675.778909935616,,,41.04296875,
E185@h100,E185,h100,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_h100,vllm,bf16,1,32,1,128,generated_tokens_per_second,3,5631.490999645917,,727.376515356203,731.3258790799106,,,72.4912109375,14442.134558813064
E185@l40s,E185,l40s,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_l40s,vllm,bf16,1,32,1,128,generated_tokens_per_second,3,5613.9102496416735,,729.9104621633887,732.7946487270916,,,41.04296875,
E186@l40s,E186,l40s,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_l40s,vllm,bf16,1,1,1,128,generated_tokens_per_second,3,209.28682970658008,,611.7224945531538,614.4087291555479,,,41.04296875,
E187@l40s,E187,l40s,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_l40s,vllm,bf16,1,1,2,128,generated_tokens_per_second,3,391.24879191276955,,654.6324911372116,657.5509520169968,,,41.04296875,
