condition_id,experiment_id,platform_id,comparability,phase,workload,mode,throughput_unit,required_trials,completed_trials,failed_trials,evidence_status,outliers_excluded,runtime_mean_seconds,runtime_median_seconds,runtime_std_seconds,runtime_cv_percent,runtime_ci95_low_seconds,runtime_ci95_high_seconds,throughput_tokens_mean,throughput_tokens_median,throughput_tokens_std,throughput_tokens_ci95_low,throughput_tokens_ci95_high,throughput_samples_mean,throughput_samples_median,throughput_samples_std,throughput_samples_ci95_low,throughput_samples_ci95_high
E001@h100,E001,h100,platform_specific,Environment validation,environment_validation,training,,1,1,0,sufficient,0,2.85239683004329,2.85239683004329,0.0,0.0,,,,,,,,,,,,
E001@l40s,E001,l40s,platform_specific,Environment validation,environment_validation,training,,1,1,0,sufficient,0,8.511358893010765,8.511358893010765,0.0,0.0,,,,,,,,,,,,
E002@h100,E002,h100,platform_specific,Environment validation,environment_validation,training,,1,1,0,sufficient,0,5.000611194001976,5.000611194001976,0.0,0.0,,,,,,,,,,,,
E002@l40s,E002,l40s,platform_specific,Environment validation,environment_validation,training,,1,1,0,sufficient,0,5.87776363408193,5.87776363408193,0.0,0.0,,,,,,,,,,,,
E003@h100,E003,h100,platform_specific,Environment validation,environment_validation,training,,1,1,0,sufficient,0,14.533709558018018,14.533709558018018,0.0,0.0,,,,,,,,,,,,
E003@l40s,E003,l40s,platform_specific,Environment validation,environment_validation,training,,1,1,0,sufficient,0,6.059725211933255,6.059725211933255,0.0,0.0,,,,,,,,,,,,
E004@h100,E004,h100,platform_specific,Environment validation,environment_validation,training,,1,1,0,sufficient,0,11.090416951978114,11.090416951978114,0.0,0.0,,,,,,,,,,,,
E004@l40s,E004,l40s,platform_specific,Environment validation,environment_validation,training,,1,1,0,sufficient,0,9.527189527172595,9.527189527172595,0.0,0.0,,,,,,,,,,,,
E005@h100,E005,h100,platform_specific,Environment validation,environment_validation,training,,1,1,0,sufficient,0,19.131747125065885,19.131747125065885,0.0,0.0,,,,,,,,,,,,
E005@l40s,E005,l40s,platform_specific,Environment validation,environment_validation,training,,1,1,0,sufficient,0,25.744760629720986,25.744760629720986,0.0,0.0,,,,,,,,,,,,
E006@h100,E006,h100,platform_specific,Environment validation,environment_validation,inference,generated_tokens_per_second,1,1,0,sufficient,0,21.432914161821827,21.432914161821827,0.0,0.0,,,245.24840703665578,245.24840703665578,0.0,,,,,,,
E006@l40s,E006,l40s,platform_specific,Environment validation,environment_validation,inference,generated_tokens_per_second,1,1,0,sufficient,0,31.649187362287194,31.649187362287194,0.0,0.0,,,255.82304415539363,255.82304415539363,0.0,,,,,,,
E008@h100,E008,h100,exact,Baseline profiling,gpt2_small,training,training_tokens_per_second,3,3,0,sufficient,0,24.59309973102063,24.59404184995219,0.013158089745461822,0.05350317727075615,24.560410585917435,24.625788876123824,125542.0958506578,125703.36938999337,315.80522469840685,124757.52886455154,126326.66283676407,122.59970297915801,122.7571966699154,0.30840353974453794,121.83352428178861,123.36588167652741
E008@l40s,E008,l40s,exact,Baseline profiling,gpt2_small,training,training_tokens_per_second,3,3,0,sufficient,0,45.52215004013851,45.53565074503422,0.07043186092996584,0.15471997888470457,45.34717347694691,45.69712660333012,45794.187809492105,45765.9326175782,55.894688276795755,45655.32649976376,45933.04911922045,44.720886532707134,44.69329357185371,0.054584656520308354,44.58527978492555,44.85649328048872
E009@h100,E009,h100,exact,Baseline profiling,gpt2_small,training,training_tokens_per_second,3,3,0,sufficient,0,23.34648104365139,23.876210100017488,0.9185370189645533,3.934370311513525,21.06452443167868,25.6284376556241,125817.10792969154,125774.80678839596,89.95379044389203,125593.6322911083,126040.58356827479,122.8682694625894,122.82695975429293,0.08784549848036331,122.65003153428545,123.08650739089335
E009@l40s,E009,l40s,exact,Baseline profiling,gpt2_small,training,training_tokens_per_second,3,3,0,sufficient,0,45.41701865398014,45.4057630719617,0.9209296894040312,2.02771938074655,43.12911783941471,47.704919468545576,45801.84519444584,45835.06510954756,115.12647532478347,45515.83209300693,46087.858295884755,44.72836444770102,44.76080577104254,0.11242819855935886,44.44905477832708,45.007674117074956
E010@h100,E010,h100,exact,Baseline profiling,gpt2_small,inference,generated_tokens_per_second,3,3,0,sufficient,0,53.780867205001414,53.83289425307885,0.5946398046359864,1.1056716552549142,52.30358081815453,55.2581535918483,292.7216616740463,293.04414322321975,1.6085204672822881,288.7255528183074,296.7177705297852,,,,,
E010@l40s,E010,l40s,exact,Baseline profiling,gpt2_small,inference,generated_tokens_per_second,3,3,0,sufficient,0,53.17780737268428,53.829394986853,1.1733634974949192,2.206490931962791,50.26277560360619,56.09283914176237,289.3171668521417,286.6718284955401,7.122874695725802,271.6215370924533,307.01279661183014,,,,,
E011@h100,E011,h100,exact,Baseline profiling,gpt2_small,inference,generated_tokens_per_second,3,3,0,sufficient,0,53.78933303970067,54.02083048806526,0.41245751342913595,0.7668016874734449,52.76464907977879,54.81401699962255,290.9118737911284,291.4056157463648,2.1991614946008453,285.448412863819,296.37533471843795,,,,,
E011@l40s,E011,l40s,exact,Baseline profiling,gpt2_small,inference,generated_tokens_per_second,3,3,0,sufficient,0,53.00915361335501,52.98525715991855,0.10400010083574578,0.19619272096724105,52.750782189179326,53.267525037530696,289.1738539651801,290.545617627816,4.27099155685597,278.5632664530581,299.78444147730215,,,,,
E012@h100,E012,h100,exact,Baseline profiling,distilbert,training,training_tokens_per_second,3,3,0,sufficient,0,10.471351122988077,9.35783034504857,2.1561358118446976,20.590808067845863,5.11478054328885,15.827921702687304,689117.3765549007,688153.4552416853,1867.5659859653915,684477.7110194025,693757.0420903988,1345.9323760837904,1344.0497172689165,3.6475898163386553,1336.8705293347705,1354.9942228328102
E012@l40s,E012,l40s,exact,Baseline profiling,distilbert,training,training_tokens_per_second,3,3,0,sufficient,0,13.546902291631946,14.137715740129352,1.3477307266401122,9.948626613130727,10.19868335290905,16.895121230354842,284195.7874145999,284807.99884584104,1155.574815295435,281324.9487483857,287066.6260808141,555.0698972941404,556.2656227457833,2.2569820611238964,549.4627905241908,560.67700406409
E013@h100,E013,h100,exact,Baseline profiling,distilbert,training,training_tokens_per_second,3,3,0,sufficient,0,9.993092581668558,10.089814121020027,0.1754418906375718,1.7556315945616712,9.55723558941722,10.428949573919896,690457.8845961806,691216.9993439225,1531.772071815731,686652.4447117267,694263.3244806345,1348.5505558519153,1350.0332018435986,2.9917423277650994,1341.1180560775913,1355.9830556262393
E013@l40s,E013,l40s,exact,Baseline profiling,distilbert,training,training_tokens_per_second,3,3,0,sufficient,0,14.370944422048828,14.569535714108497,1.857613729486379,12.92617711774258,9.756003657580505,18.98588518651715,283681.7790277958,283432.3382629538,824.3195229326727,281633.8905411076,285729.667514484,554.0659746636637,553.5787856698316,1.6099990682278764,550.0661924631008,558.0657568642266
E014@h100,E014,h100,exact,Baseline profiling,distilbert,inference,input_tokens_per_second,3,3,0,sufficient,0,11.232342560038282,10.995754274073988,0.7934138239986488,7.063654084246027,9.26123428206681,13.203450838009752,81175.99304821918,81197.26327869126,665.7241179698866,79522.1091857445,82829.87691069387,634.1874456892124,634.3536193647755,5.200969671639739,621.2664780136289,647.1084133647959
E014@l40s,E014,l40s,exact,Baseline profiling,distilbert,inference,input_tokens_per_second,3,3,0,sufficient,0,9.502865612817308,9.322349804919213,0.6498117125472134,6.838060633739344,7.88851354712049,11.117217678514127,92255.5867191296,92027.0292165511,475.1755191174822,91075.09002132634,93436.08341693286,720.7467712432,718.9611657543055,3.71230874310533,711.524140791612,729.969401694788
E015@h100,E015,h100,exact,Baseline profiling,distilbert,inference,input_tokens_per_second,3,3,0,sufficient,0,11.941379479326619,10.840283948928118,1.9207770235818842,16.085051370381525,7.169519729973294,16.713239228679946,80915.18753307442,81118.40017077725,780.6556078453273,78975.77497896271,82854.60008718616,632.1499026021439,633.7375013341973,6.098871936291619,616.9982420231462,647.3015631811419
E015@l40s,E015,l40s,exact,Baseline profiling,distilbert,inference,input_tokens_per_second,3,3,0,sufficient,0,10.417843670584261,10.336034017149359,0.23895159695956336,2.2936761628921842,9.824207088317829,11.011480252850694,92134.8803195248,91921.11757855515,413.4346990523422,91107.76870002257,93161.99193902704,719.8037524962875,718.1337310824621,3.2299585863464233,711.7794429689263,727.8280620236487
E016@l40s,E016,l40s,exact,Baseline profiling,tinyllama,training,training_tokens_per_second,3,3,0,sufficient,0,70.26838283194229,70.21252243872732,0.18431858429913925,0.26230656928588447,69.81047313046395,70.72629253342063,10754.610337267615,10760.044303543655,48.66530246982337,10633.70926692224,10875.51140761299,10.502549157487906,10.50785576517935,0.04752470944318688,10.38448170597875,10.62061660899706
E017@l40s,E017,l40s,exact,Baseline profiling,tinyllama,training,training_tokens_per_second,3,3,0,sufficient,0,70.25852776303266,70.26054071774706,0.13429483211845886,0.1911438175468283,69.92489398042045,70.59216154564487,10750.616884680245,10738.631084354336,35.419612931568764,10662.622586950338,10838.611182410152,10.498649301445552,10.486944418314781,0.03458946575348512,10.41271737006869,10.584581232822414
